ibge_cod,regiao,uf,nome,porte,snt,media_mortes,pc1,prioridade,media_pop,media_frota,meta_pop,meta_veic,meta,meta_round,var,var_perc
250073,Nordeste,Paraíba,Amparo,Menor porte,Não municipalizado,0.333333333333333,-1.07860961448869,21,2238.6666666666665,369.3333333333333,0.2749420649019307,0.19795814190913735,0.23645010340553402,0,-0.09688322992779896,-0.2906496897833972
250090,Nordeste,Paraíba,Arara,Menor porte,Não municipalizado,2,-0.76589759148472,21,13483.333333333334,2114.3333333333335,1.6559568977491212,1.1332567636549262,1.3946068307020236,1,-0.6053931692979764,-0.3026965846489882
250120,Nordeste,Paraíba,Areial,Menor porte,Não municipalizado,1,-1.16866455758593,21,6986.666666666667,1280.6666666666667,0.8580681477582591,0.6864216436957633,0.7722448957270112,1,-0.22775510427298884,-0.22775510427298884
250157,Nordeste,Paraíba,Barra de Santana,Menor porte,Municipalizado,1,-0.0126181661850237,21,8319,1330,1.0216987959734194,0.7128637059724351,0.8672812509729273,1,-0.1327187490270727,-0.1327187490270727
250415,Nordeste,Paraíba,Casserengue,Menor porte,Não municipalizado,1,-1.11108895584767,21,7466,1036.6666666666667,0.9169375178191549,0.5556406329760083,0.7362890753975816,1,-0.2637109246024184,-0.2637109246024184
250950,Nordeste,Paraíba,Montadas,Menor porte,Não municipalizado,0.666666666666667,-1.29300251578216,21,5668.333333333333,1111,0.6961569109078813,0.5954823889739664,0.6458196499409239,1,-0.020847016725743073,-0.031270525088614595
280160,Nordeste,Sergipe,Cedro de São João,Menor porte,Não municipalizado,1,0.0272955579172292,21,5896.666666666667,1553,0.7241996915001719,0.8323889739663095,0.7782943327332408,1,-0.22170566726675922,-0.22170566726675922
280220,Nordeste,Sergipe,Feira Nova,Menor porte,Não municipalizado,1,-0.713726656988984,21,5584,1295,0.6857995043533567,0.6941041347626341,0.6899518195579954,1,-0.31004818044200455,-0.31004818044200455
292180,Nordeste,Bahia,Mortugaba,Menor porte,Não municipalizado,2,-0.884470773834692,21,12041.666666666666,2836.6666666666665,1.4788984655423238,1.5204185809086272,1.4996585232254755,1,-0.5003414767745245,-0.2501707383872622
292265,Nordeste,Bahia,Nordestina,Menor porte,Não municipalizado,1.333333333333333,-0.881957199679419,21,13129.666666666666,1941.6666666666667,1.6125212916054419,1.040709545686575,1.3266154186460084,1,-0.006717914687324633,-0.005038436015493476
292350,Nordeste,Bahia,Palmeiras,Menor porte,Não municipalizado,1.666666666666667,-0.5086113767287,21,9017,2395.6666666666665,1.107423734017589,1.2840479836651353,1.195735858841362,1,-0.47093080782530494,-0.2825584846951829
292465,Nordeste,Bahia,Pintadas,Menor porte,Não municipalizado,2.333333333333333,-0.441132637426441,21,10437.666666666666,2431,1.281903049177212,1.3029862174578868,1.2924446333175494,1,-1.0408887000157836,-0.4460951571496216
292470,Nordeste,Bahia,Piripá,Menor porte,Não municipalizado,1.333333333333333,-0.880715320863547,21,10711.333333333334,2148,1.3155134475221326,1.1513016845329251,1.233407566027529,1,-0.09992576730580405,-0.07494432547935305
292780,Nordeste,Bahia,Santa Cruz da Vitória,Menor porte,Não municipalizado,1,-0.697117001678733,21,6315.666666666667,589.6666666666666,0.7756592173461706,0.3160541092394079,0.5458566632927893,1,-0.45414333670721074,-0.45414333670721074
314587,Sudeste,Minas Gerais,Orizânia,Menor porte,Não municipalizado,2,-0.645458632167374,21,8017,3375.3333333333335,0.9846086365331053,1.809137314956611,1.3968729757448581,1,-0.6031270242551419,-0.30156351212757093
314655,Sudeste,Minas Gerais,Pai Pedro,Menor porte,Não municipalizado,1,-1.11953662067926,21,6089,1308,0.7478211285830209,0.7010719754977031,0.724446552040362,1,-0.275553447959638,-0.275553447959638
314915,Sudeste,Minas Gerais,Pedras de Maria da Cruz,Menor porte,Não municipalizado,2,-0.405208954559638,21,11924,2040.6666666666667,1.4644472224049832,1.093772332822869,1.2791097776139262,1,-0.7208902223860738,-0.3604451111930369
315320,Sudeste,Minas Gerais,Presidente Juscelino,Menor porte,Não municipalizado,0.666666666666667,0.0239840651204199,21,3641,1190.3333333333333,0.44716976994100494,0.6380040837161818,0.5425869268285933,1,-0.12407973983807363,-0.18611960975711037
315650,Sudeste,Minas Gerais,Rubelita,Menor porte,Não municipalizado,0.666666666666667,-1.3007339653365,21,5997,1042,0.7365221396144483,0.558499234303216,0.6475106869588322,1,-0.01915597970783478,-0.028733969561752157
315760,Sudeste,Minas Gerais,Santa Fé de Minas,Menor porte,Não municipalizado,0.666666666666667,-0.801053086316796,21,3846,466.3333333333333,0.47234686492532413,0.24994895354772848,0.3611479092365263,0,-0.3055187574301407,-0.4582781361452108
316610,Sudeste,Minas Gerais,Senhora do Porto,Menor porte,Não municipalizado,0.666666666666667,0.0383913640837371,21,3523,1204.3333333333333,0.4326775884378358,0.6455079122001022,0.539092750318969,1,-0.127573916347698,-0.1913608745215469
317103,Sudeste,Minas Gerais,Verdelândia,Menor porte,Não municipalizado,2.333333333333333,-0.432829444542129,21,9354.333333333334,1605,1.1488533602356883,0.8602603369065851,1.0045568485711367,1,-1.3287764847621963,-0.5694756363266557
510010,Centro-Oeste,Mato Grosso,Acorizal,Menor porte,Não municipalizado,1.333333333333333,-0.852664397268483,21,5385.666666666667,1326.3333333333333,0.6614411766856008,0.7108984175599796,0.6861697971227902,1,-0.6471635362105428,-0.4853726521579072
510729,Centro-Oeste,Mato Grosso,São José do Povo,Menor porte,Não municipalizado,0.666666666666667,-1.14832044892266,21,4178,896,0.5131214772901727,0.4802450229709036,0.49668325013053816,0,-0.1699834165361288,-0.2549751248041931
520082,Centro-Oeste,Goiás,Amaralina,Menor porte,Não municipalizado,1,-0.286433802181731,21,3811.6666666666665,721.3333333333334,0.4681302132450234,0.38662582950484947,0.4273780213749364,0,-0.5726219786250636,-0.5726219786250636
521305,Centro-Oeste,Goiás,Mimoso de Goiás,Menor porte,Não municipalizado,0.333333333333333,-1.15386840240522,21,2597.3333333333335,361.6666666666667,0.3189917465330322,0.1938489025012762,0.2564203245171542,0,-0.0769130088161788,-0.23073902644853664
521350,Centro-Oeste,Goiás,Monte Alegre de Goiás,Menor porte,Não municipalizado,1,-1.20661529923781,21,8605.666666666666,1254,1.056905790585638,0.6721286370597245,0.8645172138226813,1,-0.13548278617731868,-0.13548278617731868
320435,Sudeste,Espírito Santo,Rio Bananal,Menor porte,Não municipalizado,5,-0.882929517337251,22,19140.333333333332,13932.666666666666,4.516493132367833,4.964870081662953,4.740681607015393,5,-0.259318392984607,-0.051863678596921405
320517,Sudeste,Espírito Santo,Vila Valério,Menor porte,Não municipalizado,4,-0.356680631995007,22,14080,9783,3.322419844851487,3.486146993318484,3.4042834190849858,3,-0.5957165809150142,-0.14892914522875356
411450,Sul,Paraná,Manoel Ribas,Menor porte,Não municipalizado,3.333333333333333,-0.530776437504875,22,13502,8357,3.1860307347432375,2.9779955456570146,3.082013140200126,3,-0.25132019313320697,-0.0753960579399621
411860,Sul,Paraná,Paula Freitas,Menor porte,Não municipalizado,1.333333333333333,0.0252094643308022,22,5872.666666666667,3486.3333333333335,1.3857574059326114,1.2423459539717887,1.3140516799522,1,-0.01928165338113308,-0.014461240035849813
