codigo,sigla_uf,nome,regiao,porte,media_mortes,municipalizacao,cluster_A,cluster_B,cluster_C,PC1
171510,TO,Novo Acordo,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,0.902668425412676
171570,TO,Palmeirante,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,1,1,-1.2727985940443
171575,TO,Palmeirópolis,Norte,Menor porte,1,Não municipalizado,1,3,3,0.950644194247668
171620,TO,Paranã,Norte,Menor porte,3,Não municipalizado,2,1,1,-3.15244595284704
171650,TO,Pedro Afonso,Norte,Menor porte,4,Não municipalizado,1,3,2,-0.946608849328785
171660,TO,Peixe,Norte,Menor porte,2.6666666666666665,Não municipalizado,1,3,2,-0.480656066491247
171665,TO,Pequizeiro,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,1.13733335321891
171670,TO,Colméia,Norte,Menor porte,5,Não municipalizado,2,1,3,-2.42529640066413
171700,TO,Pindorama do Tocantins,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,1,1,-1.46340206661505
171720,TO,Piraquê,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,0.692889468531889
171750,TO,Pium,Norte,Menor porte,2,Não municipalizado,2,1,1,-1.61340716617825
171800,TO,Porto Alegre do Tocantins,Norte,Menor porte,1,Não municipalizado,2,1,1,-2.05121406585024
171830,TO,Praia Norte,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.256742201008672
171840,TO,Presidente Kennedy,Norte,Menor porte,0.6666666666666666,Não municipalizado,3,1,1,0.425541150165396
171850,TO,Recursolândia,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,1.10779534041499
171865,TO,Rio da Conceição,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,3,1,0.0639591087812939
171870,TO,Rio dos Bois,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-4.1436581011767
171884,TO,Sandolândia,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,3,-4.21274177039975
171886,TO,Santa Fé do Araguaia,Norte,Menor porte,2.6666666666666665,Não municipalizado,2,1,1,-2.11295490186143
171889,TO,Santa Rita do Tocantins,Norte,Menor porte,0.6666666666666666,Não municipalizado,2,1,1,-2.16393220783273
171890,TO,Santa Rosa do Tocantins,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,1,-2.82078665592908
171900,TO,Santa Tereza do Tocantins,Norte,Menor porte,1,Não municipalizado,2,1,1,-1.40777358261144
172000,TO,Santa Terezinha do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,0.911079602227171
172010,TO,São Bento do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,1.4704164864887601
172015,TO,São Félix do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,2,1,1,-1.00878563170048
172020,TO,São Miguel do Tocantins,Norte,Menor porte,3.6666666666666665,Não municipalizado,2,1,1,-2.2217769892635
